id,name,location_tag
https://openalex.org/A5027644473,Adel Ouannas,unknown
https://openalex.org/A5005859792,A. Mellit,unknown
https://openalex.org/A5001907851,Salim Heddam,unknown
https://openalex.org/A5026903935,Mohamed Amine Ferrag,unknown
https://openalex.org/A5000065373,Menad Nait Amar,unknown
https://openalex.org/A5034494517,Chawki Djeddi,unknown
https://openalex.org/A5088665937,Abdelmalek Amine,unknown
https://openalex.org/A5011155311,Abdelghani Dahou,unknown
https://openalex.org/A5034975888,Djamila Rekioua,unknown
https://openalex.org/A5006433433,Halim Sayoud,unknown
https://openalex.org/A5057570891,Reda Mohamed Hamou,unknown
https://openalex.org/A5023668331,Abdesselem Boulkroune,unknown
https://openalex.org/A5065021759,Youcef Chibani,unknown
https://openalex.org/A5033945050,Toufik Rekioua,unknown
https://openalex.org/A5067619763,Faiçal Azouaou,unknown
https://openalex.org/A5000194284,Abdelouahab Moussaouı,unknown
https://openalex.org/A5091718065,Nabiha Azizi,unknown
https://openalex.org/A5085975641,Makhlouf Derdour,unknown
https://openalex.org/A5107337666,Abdelkamel Tari,unknown
https://openalex.org/A5080622873,Mouffak Benchohra,unknown
https://openalex.org/A5091140244,Chaker Abdelaziz Kerrache,unknown
https://openalex.org/A5013553678,Aissa Chouder,unknown
https://openalex.org/A5063976278,Mohamed Batouche,unknown
https://openalex.org/A5026844364,Zibouda Aliouat,unknown
https://openalex.org/A5079674514,Fouzi Harrag,unknown
https://openalex.org/A5019747586,Kamel Boukhalfa,unknown
https://openalex.org/A5024155508,Abdelkader Dairi,unknown
https://openalex.org/A5023316240,Mawloud Guermoui,unknown
https://openalex.org/A5076176608,Salih Djilali,unknown
https://openalex.org/A5046160644,Nadir Farah,unknown
https://openalex.org/A5058558466,Yacine Challal,unknown
https://openalex.org/A5036200309,Ahmed Guessoum,unknown
https://openalex.org/A5074365263,Ghalem Belalem,unknown
https://openalex.org/A5068969975,Hacene Belhadef,unknown
https://openalex.org/A5053417618,Hassiba Nemmour,unknown
https://openalex.org/A5066157144,Djamel Djenouri,unknown
https://openalex.org/A5025214147,Siham Ouamour,unknown
https://openalex.org/A5026225688,Sidi Mohamed Benslimane,unknown
https://openalex.org/A5039079296,Adel Belouchrani,unknown
https://openalex.org/A5069059137,Mimoun Malki,unknown
https://openalex.org/A5028922084,Hassina Aliane,unknown
https://openalex.org/A5044719111,Nadjia Benblidia,unknown
https://openalex.org/A5055340064,Zizette Boufaïda,unknown
https://openalex.org/A5005043456,Omar Nouali,unknown
https://openalex.org/A5069734774,M. Benghanem,unknown
https://openalex.org/A5087761119,Hamza Kheddar,unknown
https://openalex.org/A5089702125,Leila Zemmouchi-Ghomari,unknown
https://openalex.org/A5037106045,Fatiha Barigou,unknown
https://openalex.org/A5026059680,Baghdad Atmani,unknown
https://openalex.org/A5055982084,Salim Chıkhı,unknown
https://openalex.org/A5067052664,Oualid Hamdaoui,unknown
https://openalex.org/A5061035510,Fateh Krim,unknown
https://openalex.org/A5009204409,Mohamed Athmane Yallese,unknown
https://openalex.org/A5064615228,Hafed Zarzour,unknown
https://openalex.org/A5040353704,Tarek Berghout,unknown
https://openalex.org/A5029045930,Labiba Souici‐Meslati,unknown
https://openalex.org/A5078815797,Mokhtar Sellami,unknown
https://openalex.org/A5032944332,Imane Guellil,unknown
https://openalex.org/A5050801868,Jackie Chi Kit Cheung,unknown
https://openalex.org/A5046210131,Abdelkader Benyettou,unknown
https://openalex.org/A5066063194,Nadjem Bailek,unknown
https://openalex.org/A5071367157,Abdelkrim Bouramoul,unknown
